movieId,movieTitle,movieDescription,movieKeywords,movieCast,movieDirector,movieProduction,movieRuntime,movieGenre,movieTagline,movieRating,movieCover
1,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",culture clash future space war space colony society,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,Ingenious Film Partners Twentieth Century Fox Film Corporation Dune Entertainment Lightstorm Entertainment ,162,Action Adventure Fantasy Science Fiction,Enter the World of Pandora.,default_video.mp4,https://image.tmdb.org/t/p/w500//jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,0,1,5.0
2,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",ocean drug abuse exotic island east india trading company love of one's life,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,Walt Disney Pictures Jerry Bruckheimer Films Second Mate Productions ,169,Adventure Fantasy Action,"At the end of the world, the adventure begins.",default_video.mp4,https://image.tmdb.org/t/p/w500//2YMnBRh8F6fDGCCEIPk9Hb0cEyB.jpg,0,1,5.0
3,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",spy based on novel secret agent sequel mi6,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,Columbia Pictures Danjaq B24 ,148,Action Adventure Crime,A Plan No One Escapes,default_video.mp4,https://image.tmdb.org/t/p/w500//zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg,0,1,5.0
4,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",dc comics crime fighter terrorist secret identity burglar,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,Legendary Pictures Warner Bros. DC Entertainment Syncopy ,165,Action Crime Drama Thriller,The Legend Ends,default_video.mp4,https://image.tmdb.org/t/p/w500//85cWkCVftiVs0BVey6pxX8uNmLt.jpg,0,1,5.0
5,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",based on novel mars medallion space travel princess,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton,Walt Disney Pictures ,132,Action Adventure Science Fiction,"Lost in our world, found in another.",default_video.mp4,https://image.tmdb.org/t/p/w500//7GSSyUUgUEXm1rhmiPGSRuKoqnK.jpg,0,1,5.0
6,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",dual identity amnesia sandstorm love of one's life forgiveness,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,Columbia Pictures Laura Ziskin Productions Marvel Enterprises ,139,Fantasy Action Adventure,The battle within.,default_video.mp4,https://image.tmdb.org/t/p/w500//qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,0,1,5.0
7,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",hostage magic horse fairy tale musical,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard,Walt Disney Pictures Walt Disney Animation Studios ,100,Animation Family,They're taking adventure to new lengths.,default_video.mp4,https://image.tmdb.org/t/p/w500//ym7Kst6a4uodryxqbGOxmewF235.jpg,0,1,5.0
8,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",marvel comic sequel superhero based on comic book vision,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,Marvel Studios Prime Focus Revolution Sun Studios ,141,Action Adventure Science Fiction,A New Age Has Come.,default_video.mp4,https://image.tmdb.org/t/p/w500//4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,0,1,5.0
9,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",witch magic broom school of witchcraft wizardry,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates,Warner Bros. Heyday Films ,153,Adventure Fantasy Family,Dark Secrets Revealed,default_video.mp4,https://image.tmdb.org/t/p/w500//o2j49x3HYJC2VH689rYxmswtSgS.jpg,0,1,5.0
10,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",dc comics vigilante superhero based on comic book revenge,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,DC Comics Atlas Entertainment Warner Bros. DC Entertainment Cruel & Unusual Films RatPac-Dune Entertainment ,151,Action Adventure Fantasy,Justice or revenge,default_video.mp4,https://image.tmdb.org/t/p/w500//5UsK3grJvtQrtzEgqNlDljJW96w.jpg,0,1,5.0
